scenario,run_index,security_enabled,attack_detected,detection_latency_ticks,containment_latency_ticks,dispatch_cost,dispatch_emissions,unnecessary_generation_mwh,false_positive
COORDINATED_FDI,4,True,True,1,0,41.4396,0.27627,0.0,True
COORDINATED_FDI,4,False,True,1,,41.4396,0.27627,0.0,True
COORDINATED_FDI,5,True,True,0,2,31.0677,0.20709,0.0,False
COORDINATED_FDI,5,False,True,0,,41.9313,0.27953,0.0,False
COORDINATED_FDI,6,True,True,0,,41.577,0.2772,0.0,False
COORDINATED_FDI,6,False,True,0,,41.577,0.2772,0.0,False
COORDINATED_FDI,7,True,True,2,,41.3929,0.27593,0.0,False
COORDINATED_FDI,7,False,True,2,,41.3929,0.27593,0.0,False
COORDINATED_FDI,8,True,True,3,,41.6986,0.27799,0.0,False
COORDINATED_FDI,8,False,True,3,,41.6986,0.27799,0.0,False
COORDINATED_FDI,9,True,True,0,0,41.4696,0.27649,0.0,True
COORDINATED_FDI,9,False,True,0,,41.4696,0.27649,0.0,True
COORDINATED_FDI,10,True,True,0,,41.6389,0.27758,0.0,False
COORDINATED_FDI,10,False,True,0,,41.6389,0.27758,0.0,False
COORDINATED_FDI,11,True,True,0,,41.6878,0.27789,0.0,False
COORDINATED_FDI,11,False,True,0,,41.6878,0.27789,0.0,False
COORDINATED_FDI,12,True,True,2,0,41.4651,0.27645,0.0,True
COORDINATED_FDI,12,False,True,2,,41.4651,0.27645,0.0,True
COORDINATED_FDI,13,True,True,2,,41.7667,0.27845,0.0,False
COORDINATED_FDI,13,False,True,2,,41.7667,0.27845,0.0,False
COORDINATED_FDI,14,True,True,1,,41.6379,0.27759,0.0,False
COORDINATED_FDI,14,False,True,1,,41.6379,0.27759,0.0,False
COORDINATED_FDI,15,True,True,2,0,41.583,0.27722,0.0,True
COORDINATED_FDI,15,False,True,2,,41.583,0.27722,0.0,True
COORDINATED_FDI,16,True,True,0,,41.5322,0.27687,0.0,False
COORDINATED_FDI,16,False,True,0,,41.5322,0.27687,0.0,False
COORDINATED_FDI,17,True,True,6,,41.5622,0.27708,0.0,False
COORDINATED_FDI,17,False,True,6,,41.5622,0.27708,0.0,False
COORDINATED_FDI,18,True,True,1,8,36.6018,0.24402,0.0,False
COORDINATED_FDI,18,False,True,1,,41.4455,0.27631,0.0,False
COORDINATED_FDI,19,True,True,0,,41.6325,0.27755,0.0,False
COORDINATED_FDI,19,False,True,0,,41.6325,0.27755,0.0,False
COORDINATED_FDI,20,True,True,1,0,41.5503,0.27699,0.0,True
COORDINATED_FDI,20,False,True,1,,41.5503,0.27699,0.0,True
COORDINATED_FDI,21,True,True,6,0,41.5417,0.27696,0.0,True
COORDINATED_FDI,21,False,True,6,,41.5417,0.27696,0.0,True
COORDINATED_FDI,22,True,True,3,,41.8703,0.27912,0.0,False
COORDINATED_FDI,22,False,True,3,,41.8703,0.27912,0.0,False
COORDINATED_FDI,23,True,True,0,,41.8463,0.27898,0.0,False
COORDINATED_FDI,23,False,True,0,,41.8463,0.27898,0.0,False
COORDINATED_FDI,24,True,True,1,,41.7663,0.27845,0.0,False
COORDINATED_FDI,24,False,True,1,,41.7663,0.27845,0.0,False
COORDINATED_FDI,25,True,True,1,0,29.9353,0.19956,0.0,False
COORDINATED_FDI,25,False,True,1,,41.5643,0.27708,0.0,False
COORDINATED_FDI,26,True,True,0,12,39.2139,0.26145,0.0,False
COORDINATED_FDI,26,False,True,0,,41.7131,0.27811,0.0,False
COORDINATED_FDI,27,True,True,0,,41.6478,0.27766,0.0,False
COORDINATED_FDI,27,False,True,0,,41.6478,0.27766,0.0,False
COORDINATED_FDI,28,True,True,3,,41.6452,0.27763,0.0,False
COORDINATED_FDI,28,False,True,3,,41.6452,0.27763,0.0,False
COORDINATED_FDI,29,True,True,1,,41.7764,0.27851,0.0,False
COORDINATED_FDI,29,False,True,1,,41.7764,0.27851,0.0,False
BASELINE,0,True,False,,,41.7527,0.27834,0.0,False
BASELINE,1,True,False,,,41.6073,0.27739,0.0,True
BASELINE,2,True,False,,,41.6633,0.27775,0.0,True
BASELINE,3,True,False,,,41.6392,0.27761,0.0,True
BASELINE,4,True,False,,,41.6257,0.27752,0.0,False
BASELINE,5,True,False,,,41.6463,0.27763,0.0,False
BASELINE,6,True,False,,,41.7595,0.27839,0.0,False
BASELINE,7,True,False,,,41.7425,0.27828,0.0,False
BASELINE,8,True,False,,,41.6155,0.27742,0.0,False
BASELINE,9,True,False,,,41.5857,0.27723,0.0,False
BASELINE,10,True,False,,,41.4535,0.27636,0.0,False
BASELINE,11,True,False,,,41.6705,0.27778,0.0,False
BASELINE,12,True,False,,,41.6415,0.2776,0.0,True
BASELINE,13,True,False,,,41.6444,0.27764,0.0,False
BASELINE,14,True,False,,,42.0272,0.28019,0.0,False
BASELINE,15,True,False,,,41.5002,0.27665,0.0,False
BASELINE,16,True,False,,,41.651,0.27767,0.0,False
BASELINE,17,True,False,,,41.9043,0.2794,0.0,True
BASELINE,18,True,False,,,41.6657,0.27776,0.0,False
BASELINE,19,True,False,,,41.7277,0.27818,0.0,False
BASELINE,20,True,False,,,41.7553,0.27838,0.0,False
BASELINE,21,True,False,,,41.9119,0.27941,0.0,True
BASELINE,22,True,False,,,41.6016,0.27734,0.0,True
BASELINE,23,True,False,,,41.7683,0.27845,0.0,False
BASELINE,24,True,False,,,41.7852,0.27857,0.0,False
BASELINE,25,True,False,,,41.5845,0.27724,0.0,True
BASELINE,26,True,False,,,41.3115,0.27545,0.0,False
BASELINE,27,True,False,,,41.9072,0.27939,0.0,False
BASELINE,28,True,False,,,41.674,0.27781,0.0,True
BASELINE,29,True,False,,,41.4093,0.27606,0.0,False
